##NAMES=Anorthite
##RRUFFID=R070598
##IDEAL CHEMISTRY=Ca(Al_2_Si_2_O_8_)
##LOCALITY=Eyscott Hill, Keswick, Cumberland, England
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Massive, greyish-green heterogenous aggregates on plagioclase matrix. Variety bytownite.
##STATUS=The identification of this mineral has been confirmed only by chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R070598
##MEASURED CHEMISTRY=Na_0.25_K_0.03_Ca_0.72_(Al_1.70_Fe^3+^_0.02_Si_2.28_)O_8_ ; light gray
##DIFFRACTION SAMPLE DESCRIPTION=Powder, with other plagioclase-series minerals
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1990.009, 866.7853
1991.938, 866.0128
1993.866, 866.3972
1995.794, 871.0435
1997.723, 872.3175
1999.651, 859.5759
2001.580, 852.5945
2003.508, 859.7670
2005.437, 871.9126
2007.365, 874.5635
2009.294, 857.2044
2011.222, 849.0620
2013.151, 851.3349
2015.079, 848.8339
2017.008, 845.6818
2018.936, 840.1519
2020.865, 835.4905
2022.793, 833.7789
2024.721, 830.4022
2026.650, 826.8324
2028.578, 823.6146
2030.507, 814.5087
2032.435, 801.5743
2034.364, 793.4417
2036.292, 782.8230
2038.221, 782.4305
2040.149, 787.2129
2042.078, 784.9406
2044.006, 779.8093
2045.935, 776.7046
2047.863, 771.0238
2049.792, 766.1340
2051.720, 768.5535
2053.648, 764.4287
2055.577, 755.9642
2057.505, 749.3488
2059.434, 744.8825
2061.362, 746.7705
2063.291, 745.4326
2065.219, 739.9843
2067.148, 742.2536
2069.076, 746.2020
2071.005, 743.7009
2072.933, 748.7986
2074.862, 758.7452
2076.790, 746.2766
2078.719, 736.3765
2080.647, 743.1805
2082.575, 744.6638
2084.504, 745.1469
2086.432, 750.6474
2088.361, 755.3660
2090.289, 757.7587
2092.218, 759.1346
2094.146, 760.9349
2096.075, 765.6829
2098.003, 766.3002
2099.932, 756.6711
2101.860, 755.5468
2103.789, 760.8329
2105.717, 761.5495
2107.646, 757.0530
2109.574, 756.3687
2111.502, 757.0819
2113.431, 755.7576
2115.359, 754.0666
2117.288, 752.0555
2119.216, 751.5847
2121.145, 750.0834
2123.073, 748.1283
2125.002, 743.2299
2126.930, 737.8756
2128.859, 736.6162
2130.787, 747.7672
2132.716, 758.1196
2134.644, 746.9471
2136.573, 741.1634
2138.501, 743.8693
2140.429, 750.8253
2142.358, 759.0663
